wake_index,csf_score,goal_restored,bvh_ready,timestamp
1,0.7096154093742371,False,True,1785886588
2,0.9513941407203674,True,True,1785887058
3,0.9519230723381042,True,True,1785888742
4,0.9519230723381042,True,True,1785888754
5,0.9519230723381042,True,True,1785888754
6,0.9519230723381042,True,True,1785888754
7,0.9519230723381042,True,True,1785888754
8,0.9519230723381042,True,True,1785888766
9,0.9519230723381042,True,True,1785888766
10,0.9519230723381042,True,True,1785888766
